obskey,filename
SZ071,XCTD-SZ07120220620_all.CTD
SZ072,XCTD-SZ07220220620_all.CTD
SZ073,XCTD-SZ07320220620_all.CTD
SZ081,XCTD-SZ08120220620_all.CTD
SZ082,XCTD-SZ08220220620_all.CTD
SZ083,XCTD-SZ08320220620_all.CTD
SZ091,XCTD-SZ09120220620_all.CTD
SZ092,XCTD-SZ09220220620_all.CTD
SZ093,XCTD-SZ09320220620_all.CTD
SZ101,XCTD-SZ10120220619_all.CTD
SZ102,XCTD-SZ10220220619_all.CTD
SZ103,XCTD-SZ10320220620_all.CTD
SZ111,XCTD-SZ11120220619_all.CTD
SZ112,XCTD-SZ11220220619_all.CTD
SZ113,XCTD-SZ11320220619_all.CTD
SZ121,XCTD-SZ12120220619_all.CTD
SZ122,XCTD-SZ12220220619_all.CTD
SZ123,XCTD-SZ12320220619_all.CTD
SZ131,XCTD-SZ13120220619_all.CTD
SZ132,XCTD-SZ13220220619_all.CTD
SZ133,XCTD-SZ13320220619_all.CTD
SZ141,XCTD-SZ14120220619_all.CTD
SZ142,XCTD-SZ14220220619_all.CTD
SZ143,XCTD-SZ14320220619_all.CTD
