obskey,filename
SZ071,XCTD-SZ07120220620_1m.CTD
SZ072,XCTD-SZ07220220620_1m.CTD
SZ073,XCTD-SZ07320220620_1m.CTD
SZ081,XCTD-SZ08120220620_1m.CTD
SZ082,XCTD-SZ08220220620_1m.CTD
SZ083,XCTD-SZ08320220620_1m.CTD
SZ091,XCTD-SZ09120220620_1m.CTD
SZ092,XCTD-SZ09220220620_1m.CTD
SZ093,XCTD-SZ09320220620_1m.CTD
SZ101,XCTD-SZ10120220619_1m.CTD
SZ102,XCTD-SZ10220220619_1m.CTD
SZ103,XCTD-SZ10320220620_1m.CTD
SZ111,XCTD-SZ11120220619_1m.CTD
SZ112,XCTD-SZ11220220619_1m.CTD
SZ113,XCTD-SZ11320220619_1m.CTD
SZ121,XCTD-SZ12120220619_1m.CTD
SZ122,XCTD-SZ12220220619_1m.CTD
SZ123,XCTD-SZ12320220619_1m.CTD
SZ131,XCTD-SZ13120220619_1m.CTD
SZ132,XCTD-SZ13220220619_1m.CTD
SZ133,XCTD-SZ13320220619_1m.CTD
SZ141,XCTD-SZ14120220619_1m.CTD
SZ142,XCTD-SZ14220220619_1m.CTD
SZ143,XCTD-SZ14320220619_1m.CTD
